-1.70,0.04,-9.78
-1.80,0.12,-9.39
-2.61,0.22,-10.01
-2.98,0.16,-9.53
-3.30,0.17,-9.42
-4.75,0.02,-9.90
-3.29,0.22,-9.24
-4.81,-0.02,-8.47
-5.86,0.61,-7.95
-6.11,0.32,-8.13
-6.56,0.28,-7.16
-6.51,0.27,-6.50
-7.23,0.36,-6.22
-7.75,0.32,-6.17
-8.03,0.28,-5.32
-8.41,0.29,-4.24
-8.52,0.30,-4.41
-9.10,0.22,-3.21
-9.44,0.24,-1.86
-9.47,0.11,-0.94
-9.38,0.12,-0.07
-9.37,-0.34,1.24
-9.39,-0.30,1.96
-9.19,-0.32,3.03
-8.48,-0.36,3.32
-8.56,-0.25,4.67
-8.07,-0.34,5.54
-7.13,-0.22,6.32
-7.18,-0.27,7.43
-6.05,-0.28,7.53
-5.23,-0.34,8.22
-4.36,-0.27,8.80
-3.55,-0.17,9.22
-2.86,-0.32,9.49
-2.16,-0.30,9.47
-1.05,-0.61,10.36
-0.75,-0.28,9.45
-0.05,-0.52,9.48
0.24,-0.63,9.67
0.67,-0.58,9.65
1.00,-0.52,9.75
0.99,-0.44,10.02
0.90,-0.35,9.74
0.81,0.14,9.51
-0.05,-0.47,10.09
-0.64,-0.64,9.40
-0.61,-0.42,9.65
-0.38,-0.54,9.54
-0.41,-0.23,9.67
-0.36,-0.04,9.68
-0.88,0.20,9.70
-1.49,0.35,9.71
-2.55,0.14,9.60
-2.71,0.17,9.10
-4.61,0.29,7.87
-5.42,0.36,7.46
-6.25,0.52,7.52
-6.58,0.35,7.01
-6.95,0.45,6.25
-7.34,0.51,5.67
-8.18,0.57,4.91
-8.60,0.54,4.12
-8.86,0.63,3.54
-9.18,0.54,2.68
-9.32,0.52,1.54
-9.41,0.62,0.44
-9.36,0.76,-1.04
-9.60,0.80,-1.52
-9.25,0.92,-2.06
-9.09,1.23,-2.03
-9.19,1.45,-1.87
-9.22,1.76,-1.68
-9.16,2.00,-1.53
-9.05,2.37,-1.51
-8.92,2.71,-1.96
-8.67,3.26,-1.85
-8.75,3.71,-1.83
-8.41,4.17,-1.64
-7.89,4.66,-1.68
-7.90,4.96,-1.90
-7.99,5.26,-1.51
-7.27,5.54,-2.14
-6.86,5.95,-1.64
-6.72,6.32,-1.71
-6.40,6.51,-1.51
-6.07,6.92,-1.81
-6.14,7.25,-1.51
-5.28,7.73,-1.33
-4.65,8.04,-1.32
-3.83,8.42,-1.48
-3.53,8.54,-1.43
-3.39,8.80,-1.48
-2.39,8.99,-1.14
-2.04,9.03,-0.88
-1.39,9.21,-0.80
-1.09,9.54,-1.09
-0.10,9.22,-1.23
-0.07,9.36,-0.38
0.02,9.34,-0.94
0.14,9.39,-0.72
0.24,9.20,-1.01
0.25,9.04,-1.09
0.32,9.36,-0.90
0.49,9.30,-0.70
0.68,9.40,-1.23
0.48,9.40,-0.92
0.92,9.28,-0.98
0.97,9.26,-0.80
0.86,9.45,-1.00
1.02,9.32,-1.17
1.10,9.22,-0.42
1.00,9.38,-0.95
0.91,9.22,-0.72
0.90,9.44,-1.23
0.81,9.26,-0.67
0.65,9.41,-0.44
0.54,9.36,-0.75
0.04,9.20,-0.68
-0.14,9.36,-1.05
-0.67,9.40,-0.59
-1.10,9.03,-0.56
-1.29,9.07,-0.43
-3.07,8.80,-0.86
-3.74,8.58,-0.45
-4.27,8.20,-0.51
-4.62,8.12,-0.31
-4.76,7.91,-0.84
-5.47,7.49,-0.51
-6.01,7.04,-0.44
-6.39,6.74,-0.34
-7.13,6.27,-0.21
-7.47,5.48,-0.94
-8.14,4.67,-0.22
-8.54,4.19,-0.26
-8.63,3.49,-0.75
-9.17,3.13,-1.06
-8.99,2.49,-0.99
-9.46,2.11,-0.79
-9.22,1.53,-1.02
-9.47,1.09,-1.26
-9.46,0.31,-1.16
-9.41,-0.47,-1.61
-9.31,-1.50,-1.52
-9.37,-2.20,-1.31
-8.90,-2.85,-1.62
-8.73,-3.56,-1.97
-8.59,-4.08,-1.33
-8.27,-4.58,-1.61
-7.88,-5.06,-1.59
-7.71,-5.21,-1.45
-7.47,-5.48,-0.82
-7.39,-6.09,-1.20
-6.57,-6.63,-1.20
-6.46,-7.18,-1.31
-6.29,-7.27,-1.48
-5.68,-7.33,-1.56
-5.62,-7.76,-1.38
-4.81,-7.97,-1.26
-4.63,-8.02,-1.39
-4.02,-8.11,-1.04
-3.86,-8.54,-1.06
-3.92,-8.75,-1.05
-3.30,-8.96,-1.06
-2.88,-8.93,-1.57
-2.23,-8.86,-1.16
-2.02,-9.04,-0.82
-1.67,-9.27,-1.16
-1.14,-9.45,-0.54
-0.85,-9.15,-0.82
-1.07,-9.19,-1.26
-0.82,-9.43,-0.94
-0.78,-9.27,-0.96
-0.64,-9.15,-0.65
-0.63,-9.34,-0.80
-0.93,-9.17,-1.02
-0.83,-9.23,-0.94
-0.72,-9.36,-1.05
-0.80,-9.30,-1.25
-0.80,-9.21,-0.97
-0.71,-9.34,-1.17
-0.59,-9.40,-1.02
-0.79,-9.15,-0.82
-0.59,-9.27,-0.13
-0.59,-9.34,-0.34
-0.67,-9.30,-0.63
-0.67,-9.50,-0.56
-0.76,-9.19,-1.13
-1.33,-9.15,-1.29
-2.01,-9.01,-0.98
-2.95,-8.77,-1.51
-3.76,-8.57,-1.26
-4.21,-8.24,-1.25
-4.24,-7.90,-1.27
-5.65,-7.26,-1.30
-6.48,-6.63,-1.49
-7.13,-5.71,-1.68
-7.99,-4.98,-1.95
-8.30,-4.28,-2.10
-8.35,-3.42,-1.86
-9.02,-2.62,-2.05
-9.16,-1.97,-2.28
-9.30,-1.27,-1.74
-9.11,-0.89,-1.38
-9.55,-0.65,-0.84
-9.64,-0.57,-0.56
-9.76,-0.48,0.58
-9.22,-0.34,1.82
-9.26,-0.30,2.44
-9.08,-0.14,3.06
-8.76,-0.13,4.01
-8.55,-0.12,4.36
-7.96,-0.11,4.95
-7.71,-0.11,5.43
-7.70,-0.02,5.87
-7.53,0.06,6.03
-7.02,0.21,6.49
-6.53,0.02,7.23
-5.93,0.13,7.20
-6.26,0.04,7.69
-5.37,0.19,7.68
-5.11,0.27,8.22
-4.56,0.24,8.55
-4.06,0.25,9.07
-3.31,0.23,8.81
-3.01,0.04,8.94
-1.70,0.01,9.55
-0.72,-0.03,9.65
-0.05,-0.24,9.83
0.64,-0.37,9.43
1.48,-0.56,9.84
2.08,-0.51,9.77
1.93,-0.61,9.44
3.13,-0.57,9.22
4.05,-0.23,9.62
4.83,-0.30,8.82
5.11,-0.59,7.68
6.76,-0.46,7.61
6.94,-0.65,6.36
7.45,-0.30,6.58
8.27,-0.37,5.74
8.37,-0.28,4.37
8.91,-0.39,4.08
9.05,-0.63,2.96
9.27,-0.44,3.01
9.67,-0.38,1.74
9.77,-0.34,1.07
9.79,-0.25,0.82
9.90,-0.22,-0.03
9.83,0.12,-0.83
9.65,0.17,-1.21
9.68,0.11,-1.18
9.56,0.00,-1.77
9.87,0.11,-1.56
9.76,0.19,-1.45
9.70,0.17,-1.75
9.81,0.09,-1.55
9.57,0.15,-1.57
9.78,0.25,-1.66
9.92,0.12,-1.17
10.01,0.19,-1.15
9.84,0.05,-0.79
10.00,0.08,-0.48
9.70,0.19,-0.25
9.58,0.25,0.68
9.62,0.27,1.78
9.65,0.51,2.56
9.15,0.46,3.47
8.87,0.30,3.99
8.57,0.38,4.95
8.07,0.56,5.69
8.12,0.60,6.22
7.13,0.69,6.94
6.07,0.64,7.64
5.43,0.49,7.88
4.63,0.50,8.76
3.53,0.52,9.20
2.59,0.46,9.44
1.68,0.42,9.65
0.64,0.15,9.60
0.17,0.34,9.98
-0.30,0.55,10.32
-1.65,-0.84,8.67
-1.57,0.58,9.06
-3.41,0.51,9.18
-3.90,0.85,8.57
-4.29,0.81,8.45
-5.03,0.56,7.75
-5.18,0.64,7.53
-7.23,0.48,6.42
-7.72,0.51,5.69
-8.23,0.42,4.38
-8.60,0.43,3.83
-8.80,0.34,2.31
-8.81,0.13,2.21
-10.28,-0.06,1.08
-9.49,0.12,0.36
-9.45,0.12,-0.75
-9.34,0.34,-0.91
-9.18,0.43,-0.63
-9.28,0.18,-1.54
-9.22,-0.14,-1.01
-9.55,0.02,-1.00
-9.38,0.19,-0.81
-9.43,0.14,-0.83
-9.35,0.17,-0.48
-9.38,0.05,-1.06
-9.33,-0.18,-0.49
-9.90,-0.18,-1.02
-9.22,-0.31,-0.70
-9.06,0.05,0.06
-9.43,0.00,-0.94
-9.38,-0.07,-0.72
-9.31,-0.25,-1.07
-9.90,0.19,-1.24
-9.14,-0.26,-1.34
-9.08,-0.08,-1.05
-9.37,-0.04,-1.42
-9.75,0.06,-1.32
-9.39,0.03,-1.14
-9.30,-0.14,-1.02
-9.60,-0.05,-1.32
-9.21,-0.10,-1.35
-9.63,-0.11,-1.68
-9.54,-0.10,-1.41
-9.32,-0.04,-1.44
-9.44,-0.07,-1.68
-9.27,0.05,-1.60
